post_id,comment_id,brand,text,label,compound,pos,neg,neu
VOrnBVxSDvQ,UgzrUOpA3yQBn2VXbAx4AaABAg,atomberg,Atomberg,neutral,0.0,0.0,0.0,1.0
bRW2z6D96OU,UgzwDlcQupnZ2_B5q9N4AaABAg,atomberg,"I bought atomberg halo  today i returned atomberg. Fan's rpm is low, does not justify its price",negative,-0.2732,0.0,0.13,0.87
bRW2z6D96OU,Ugz6mgTDWA7N5-bTZsN4AaABAg,usha,Why now an average fan makes more noise that you can't hear sound from watching something on youtube of insta... I have to use headphone mostly or a Bluetooth speaker... 3000-4000 ka fan bhi itna sound krta hai jaise pehle k USha k panther nhi krte th or aaj bhi mast chal rhe hai Gaon me,positive,0.5574,0.084,0.0,0.916
bRW2z6D96OU,Ugz63BvJJJ-4K25fJqZ4AaABAg,atomberg,"Please please do not buy bldc fan.
Me double pese dekar atomberg bldc fan le aaya tha.. electricity bill me ghanta kuchh farq nahi bada. 2.5  sal bad fan kharab ho gaya..ab repairing ka kharcha alag. Fan chalta bhi kachhua ke jese tha.. rpm very slow.  Aaj kal ke induction fan bhi to 50-60watt ke aate hai.. jo company ka bhi under 2k aa jata hai. Jo 20 sal tak bhi chal jata hai..  phir bldc jhatu lene ka kya fayda..???",negative,-0.6108,0.075,0.13,0.795
bRW2z6D96OU,UgzcMXnlbFAF-zzsEaN4AaABAg,atomberg,"⚠️ I'm using atomberg Fan for 1 year Renesa Smart ceiling fan 1200mm( wifi support) & Renesa Regular ceiling fan 1200mm😔, Don't Buy this both model👎, wifi & Remote control feature is great 👍 but no air flow, only in 5 speed & Boost mode you'll feel the air with fan rotating noise, Think before you buy, Don't fall in trap
Atomberg Less air flow with energy savings,",positive,0.9342,0.277,0.037,0.687
VIeK7Bq-hnM,Ugy5hpBCdWgTsyO1D1N4AaABAg,atomberg,15 By 15 ka hall he atomberg halo smart 1200 mm lu ya 1400mm.?,positive,0.4019,0.172,0.0,0.828
VIeK7Bq-hnM,Ugzki_GjXulnMB0KxzZ4AaABAg,crompton,Bhaiyya Crompton energion niteo m RF Remote h ya IR plz reply mujhe purches Krna h,positive,0.0772,0.098,0.0,0.902
VIeK7Bq-hnM,UgzeLvwvUP_MSgww0WN4AaABAg,havells,Can i go with havells epic signia please answer,positive,0.3182,0.247,0.0,0.753
VIeK7Bq-hnM,UgzMT_ggazwco3il0Fx4AaABAg,havells,"Key havells ka 1400MM bldc fan haei??
Please send a link",positive,0.6072,0.383,0.0,0.617
VIeK7Bq-hnM,UgzrNLLc7wVnryuGcRl4AaABAg,atomberg,atomberg poor quality after 1 year of use 😢😢😢,negative,-0.4767,0.0,0.307,0.693
VIeK7Bq-hnM,Ugxp6q5TRxLRpGfuCcN4AaABAg,havells,"Havells ceiling fan No1
Havells Ambrose and Efficiencia",positive,0.3182,0.247,0.0,0.753
VIeK7Bq-hnM,Ugzsuio5mz3AVRj2cQl4AaABAg,havells,Havells fan review kro bhai,positive,0.3182,0.365,0.0,0.635
eUqNCj2T55I,Ugwzd5T86FUsfLlbNqZ4AaABAg,atomberg,Simple model lo atomberg jaise ikano aur bhi ak do hain,neutral,0.0,0.0,0.0,1.0
eUqNCj2T55I,UgwCIfz6KME0OTKDMTp4AaABAg,atomberg,Atomberg bakwas hai circuit bar bar bigad jata hai,neutral,0.0,0.0,0.0,1.0
v9VUaj72YQc,UgyWPaEcI9G3LCjX3bF4AaABAg,lg,Yahi fan humne lgaya hai new hi hai lekin apne ap slow hojarha hai kya wajah hoskti hai,positive,0.3182,0.119,0.0,0.881
wOvKxWUW-yc,Ugz7FEUW4GE4T8pOPLl4AaABAg,havells,"Using the havells efficiencia neo for 4 years, no problem at all, one of the best fan out there.",positive,0.3818,0.256,0.193,0.551
wOvKxWUW-yc,UgwmC6r2TXgEb0uKjbJ4AaABAg,crompton,I'm searching for new bldc fans because the crompton service is horrible. I have purchased silent pro and have never been silent. After filing 9 support requests in 2 years. Now I'm looking for a new fan because of the bad customer service of crompton,negative,-0.4588,0.102,0.143,0.755
wOvKxWUW-yc,UgzVghRmsRuOIs9MJRt4AaABAg,atomberg,Atomberg efficio Alpha air flow is low. Renesa is good. I am using both.,positive,0.2023,0.181,0.131,0.688
wOvKxWUW-yc,UgwyZ2hkM-7L_XF5O-94AaABAg,atomberg,wo sab to theek hai but...atomberg renesa 2500 k andar kaha mill raha hai...??,neutral,0.0,0.0,0.0,1.0
wOvKxWUW-yc,UgwZhkzZvBrpRQGB3w14AaABAg,atomberg,Best Atomberg ke fan h mere pass 4 fan h 2500 s leke 5000 tak k all fan best h or bahut kam light lete h,positive,0.936,0.522,0.0,0.478
wOvKxWUW-yc,Ugx0hd8gZlzhfYiGgvV4AaABAg,havells,Bro mein havells technician me kaam karta Hoon,neutral,0.0,0.0,0.0,1.0
wOvKxWUW-yc,UgxYwj0wezVB15AQ5YB4AaABAg,havells,havells ki service bahut kharab hai ate hi nahi,neutral,0.0,0.0,0.0,1.0
wOvKxWUW-yc,UgzCgcaXQ-cl79pF9yl4AaABAg,crompton,No. 1crompton Enzo silent pro,negative,-0.296,0.0,0.355,0.645
wOvKxWUW-yc,UgxgErQs2uaB7xkcVud4AaABAg,havells,Havells Efficiencia Neo 3500 ka hai 2500 ka nahi,neutral,0.0,0.0,0.0,1.0
wOvKxWUW-yc,UgyQVD_K00FGekIQqzl4AaABAg,atomberg,Atomberg kitna ganda nam h chiiiii 🤮🤮,neutral,0.0,0.0,0.0,1.0
NDKD-B_i3mg,UgwPkvwODIu1psR9XMl4AaABAg,atomberg,"I've 4 Atomberg fans and they are working good. Speed is decent and blow is also good. I've Aris, and Renesa both are studio smart. Would recommend",positive,0.875,0.333,0.0,0.667
NDKD-B_i3mg,UgxQZihVu2uJ7N59Ly14AaABAg,atomberg,For the first time I felt that I have to click on the affiliate link in the video to buy a product. Very useful information. Thank you. Ordered atomberg via your link,positive,0.7146,0.181,0.0,0.819
